source,patent_id,publication_number,title,abstract,assignee,inventors,publication_date,filing_date,country,source_url,keywords,candidate_application_areas,ipc_codes,cpc_codes,claims_excerpt,patent_family,citation_count
USPTO,US10119208B2,US10119208B2,Method for making electrically conductive textiles and textile sensor,"A method for making a textile sensor and a textile sensor can include selecting a combination of variables from the group consisting of yarn variables, stitch variables, and textile variables; and knitting an electrically conductive yarn in the textile sensor in accordance with the selected combination of variables, wherein the combination of variables is selected so as to provide a controlled amount of contact resistance in the textile sensor.",Footfalls And Heartbeats (UK) Ltd,Simon Adair McMaster,2018-11-06,2014-08-14,US,https://patents.google.com/patent/US10119208B2/en,conductive yarn; textile sensor; knitted sensor; contact resistance; physiological sensing,,,,,,
USPTO,US10462898B2,US10462898B2,Physiological monitoring garments,Described herein are apparatuses including garments for detecting and monitoring physiological parameters such as respiration and cardiac parameters. Also described are methods of forming garments having one or more stretchable conductive ink patterns.,Life Corporation SA,Gianluigi LONGINOTTI-BUITONI; Andrea Aliverti,2019-10-29,2018-12-23,US,https://patents.google.com/patent/US10462898B2/en,physiological monitoring; smart garment; conductive ink; textile sensors; respiration,,,,,,
USPTO,US11399769B2,US11399769B2,"Smart materials, dry textile sensors, and electronics integration in clothing, bed sheets, and pillow cases for neurological, cardiac and/or pulmonary monitoring","Sensors mounted on a textile include at least one of electrically conductive textile electrodes, optically coupled emitters and photodiodes, and thin film or Resistive Temperature Detector sensors. Textile electrodes, electrical connections, and electrical functionalization use nanoparticles, nanostructures, and mesostructures.",Nanowear Inc,Vijay Varadan,2022-08-02,2020-06-27,US,https://patents.google.com/patent/US11399769B2/en,dry textile sensors; conductive textile electrodes; health monitoring; fiber core; textile electronics,,,,,,
USPTO,US11661681B2,US11661681B2,Multifunctional smart garment textile,"A multifunctional smart garment textile is disclosed. It comprises plural conductive yarns, wherein each of the plural conductive yarns includes cotton threads, multiwalled carbon nanotubes and iodine-modified polypyrrole, and wherein the cotton threads, the multiwalled carbon nanotubes and the iodine-modified polypyrrole are intermingled with each other in a weight ratio ranging from 1:1:1 to 3:1:1.",Tsai Hsien Yin; Tsai Stephen,Stephen Tsai,2023-05-30,2020-09-23,US,https://patents.google.com/patent/US11661681B2/en,smart garment; conductive yarns; carbon nanotubes; polypyrrole; energy harvesting textile,,,,,,
USPTO,US20180005766A1,US20180005766A1,Conductive textiles and related devices,"A conductive textile is provided comprising a textile substrate comprising a network of one or more threads arranged to define pores and intersections throughout the textile substrate, and a conductive polymer coating on a surface of the textile substrate. The conductive textile may be incorporated into electronic devices, including solar cells.",Wisconsin Alumni Research Foundation,Marianne Fairbanks; Trisha Andrew,2018-01-04,2016-07-01,US,https://patents.google.com/patent/US20180005766A1/en,conductive textile; conductive polymer coating; smart clothes; electronic textile; energy storage,,,,,,
EPO,EP1858581B1,EP1858581B1,Textile-based electrode,"Textile-based electrodes include a fabric portion having stretch-recovery non-conductive yarns and an electrically conductive region having stretch-recovery electrically conductive yarn filaments. When incorporated into a garment, the electrodes can be used to monitor biophysical characteristics such as the garment wearer's heart rate.",Textronics Inc,Qaizar N. Hassonjee; Juan Cera; Robert-Michael Bartecki; Thomas A. Micka; Claudia Schultze; Stacey B. Burr; Eleni Karayianni,2008-12-10,2006-03-07,EP,https://patents.google.com/patent/EP1858581B1/en,textile electrode; conductive yarn filaments; garment monitoring; heart rate; biophysical sensing,,,,,,
EPO,EP4364663A1,EP4364663A1,Smart sensing textile,"The present disclosure pertains to a wearable electronics product, a use method, and a kit of parts. The product comprises a stretchable textile with at least one skin contact electrode for interfacing with a wearer's skin and a flexible patch supporting electronic components connected to a flexible contact terminal.",Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek TNO,Birgitta Katarina Charlotte Kjellander; Maxime Pauline Aline DASSEN,2024-05-08,2022-11-07,EP,https://patents.google.com/patent/EP4364663A1/en,smart sensing textile; wearable electronics; skin contact electrode; flexible patch; conductive textile,,,,,,
EPO,EP4028588A1,EP4028588A1,Electrically conductive yarn and wearable article including such yarn,The electrically conductive yarn comprises an assembly of at least two resistive elements and a wrapping layer covering the assembly of the two resistive elements. Each resistive element comprises an elastic core coated with metal.,Chronolife,Pascal Dumas; Stephane CARRAS,2022-07-20,2020-09-09,EP,https://patents.google.com/patent/EP4028588A1/en,electrically conductive yarn; wearable article; metal-coated elastic core; physiological sensors; smart shirt,,,,,,
EPO,EP2407096A1,EP2407096A1,Textile electrode,"The present invention is related to a textile electrode for measuring an electrical signal from a body part. The electrode comprises a conductive textile contact to be applied to the body part, a textile support, and a vapour barrier sheet material able to reduce evaporation of liquid from the textile electrode.",CECOTEPE asbl,Christian Ninane; Benjamin Deliege,2012-01-18,2010-07-13,EP,https://patents.google.com/patent/EP2407096A1/en,textile electrode; conductive textile contact; physiological signal; wearable electrode; biosignal sensing,,,,,,
EPO,EP3307137B1,EP3307137B1,Multifunctional textile sensor,"The present application describes the creation of a flexible textile structure with sensing and lighting capabilities without the loss of important features of a typical textile, for instance, comfort, seamless and mechanical flexibility. Sensing applications include a directly printed self-capacitive sensor, a knitted textile sensor, and integration of temperature/humidity bulk capacitive sensors directly on the textile.",Continental - Industria Textil Do Ave SA,Eduardo Jorge OSORIO DINIS; Manuel Joaquim GONCALVES PINHEIRO; Carla Marina ARAUJO PIRES; Joao Luis Neto GUIMARAES PEREIRA; Ines Rocha e Silva VALENTE DE MATOS; Joao Manuel de CARVALHO GOMES; Vasco Goncalves PIMENTA MACHADO; Antonio Fernando CALIFORNIA MARQUES; Jose Fernando OLIVEIRA DA SILVA,2020-07-08,2016-04-11,EP,https://patents.google.com/patent/EP3307137B1/en,multifunctional textile sensor; conductive yarns; printed sensor; self-capacitive sensor; textile lighting,,,,,,
