source,patent_id,publication_number,title,abstract,assignee,inventors,publication_date,filing_date,country,source_url,keywords,candidate_application_areas,ipc_codes,cpc_codes,claims_excerpt,patent_family,citation_count,review_reason,missing_fields,source_notes
USPTO,US5906004A,US5906004A,Textile fabric with integrated electrically conductive fibers and clothing fabricated thereof,A textile fabric containing electrically conductive fibers that provide sufficient current to induce either a wired or wireless coupling with portable electronic devices designed for fabrication into functional clothing.,Motorola Solutions Inc,Michael S. Lebby; Karen E. Jachimowicz,1999-05-25,1998-04-29,US,https://patents.google.com/patent/US5906004A/en,conductive fiber textile; functional clothing; antenna textile; portable electronic; wired wireless,Smart garments; Textile communication interfaces,A41D31/00; D02G3/441; D03D15/25; H01Q1/273,A41D1/002; D10B2101/20; D10B2401/16; H01Q1/273,A textile fabric including a plurality of electrically conductive fibers and a plurality of non-electrically conductive fibers including a plurality of holographic optical fibers.,22090154,202,Likely family duplicate of US6080690A which is already in accepted corpus (same Motorola/Lebby inventors and same 1998-04-29 filing date suggest a parent/divisional relationship),,Public source verified on Google Patents; needs human review to confirm whether distinct claims warrant a separate accepted entry alongside US6080690A
EPO,EP1211633A1,EP1211633A1,"Texile-like capacitive pressure sensor and method of mapping the pressure exerted at points of a surface of a flexible and pliable object, particularly of a sail","A device for detecting the pressure exerted at different points of a flexible and/or pliable object that may assume different shapes, comprises a plurality of capacitive pressure sensors and at least a system for biasing and reading the capacitance of the sensors. The requirements of flexibility or pliability are satisfied by capacitive pressure sensors constituted by two orthogonal sets of parallel or substantially parallel electrodes spaced, at least at each crossing between an electrode of one set and an electrode of the other set, by an elastically compressible dieletric, constituting an array of pressure sensing pixel capacitors. Further described is a method of trimming a sail for maximizing the net thrust on the windward face of the sail based on instrumentally reconstructing distribution maps of the pressure over the sail area in real time and with a certain frame rate.",STMicroelectronics SRL; SGS Thomson Microelectronics SRL,Nicolo Manaresi; Marco Tartagni; Joel Monnier; Roberto Guerrieri,2002-06-05,2000-11-28,EP,https://patents.google.com/patent/EP1211633A1/en,textile sensor,Textile-integrated electrodes; Textile-integrated sensors,,B63H9/06; G01L1/146; G06F3/0446; G06F2203/04102,"A device for detecting the pressure exerted at different points of a flexible and/or pliable object that may assume different shapes, comprising a plurality of capacitive pressure sensors and at least a system for biasing and reading the capacitance of the sensors, characterized in that said capacitive pressure sensors are constituted by two orthog",,,Relevance plausible but not strong enough for accepted corpus,,Textile-like capacitive pressure sensor; needs human review to confirm it is genuinely textile/fiber based rather than only a textile-like pressure-map structure.
EPO,EP3634215A4,EP3634215A4,SENSOR BAND FOR MULTIMODAL DETECTION OF BIOMETRIC DATA,,Myant Inc,Adrian Straka; Jiwon Yang; Parth JAIN; Mark Klibanov; Michelle Zheng; Gabriel Stefan; Monica Nealis; Milad Alizadeh-Meghrazi,2021-01-13,2018-06-06,EP,https://patents.google.com/patent/EP3634215A4/en,sensor band; multimodal biometric data; textile sensors; ECG electrodes; smart garment,Textile biosensors; Wearable health-monitoring garments; Textile electrodes,,A61B5/0205; A61B5/6804; A61B5/282; A61B2562/063,,64458477,,abstract_missing,abstract,Strong Myant textile biometric sensor candidate; routed to review because the accessible EP page did not expose a verifiable abstract.
EPO,EP2074872A2,EP2074872A2,Conductive yarn sewing system,,,Graham Harry Marshall; Andre Francois Emile Gorix; Pierre Andre Gabriel Morin; Steven Masse,2009-07-01,2007-08-17,EP,https://patents.google.com/patent/EP2074872A2/en,conductive yarn; sewing system; e-textile interconnect,conductive yarns; textile interconnects,,,,,,metadata_missing,abstract; assignee; ipc_codes_or_cpc_codes,"Promising conductive-yarn sewing candidate, but required abstract, assignee, and classification were not verified cleanly in this batch."
EPO,EP3677177A4,EP3677177A4,"Garment, conductive composite thread, and disposable garment",,,,,,EP,https://patents.google.com/patent/EP3677177A4/en,conductive composite thread; garment; textile electrode,conductive threads; wearable garments,,,,,,metadata_missing,abstract; assignee; inventors; publication_date; filing_date; ipc_codes_or_cpc_codes,Candidate appears relevant but source metadata was incomplete for accepted-row requirements.
USPTO,US12618727,US12618727,Smart Fabric Impact Sensors,,,Arar Salim ALKHADER,2026-05-05,2024-01-29,US,https://patents.google.com/patent/US20250244184A1/en,fabric; sensors; smart fabric,Textile sensors,,G01L1/2293; A42B3/0433; G01L5/0052,,,,Relevant to fiber-wearable electronics but does not yet meet the project canonical quality gate (corpus_quality.audit_corpus_row),abstract; assignee,Auto-routed from contribution file (USPTO) during patent/last-check merge
USPTO,US12376630,US12376630,Smart Clothing System And Methods,,,GLENN ROBELL,2025-08-05,2024-10-22,US,https://patents.google.com/patent/US20250040629A1/en,clothing; smart clothing,Smart textiles,,A41D13/0015,,,,Relevant to fiber-wearable electronics but does not yet meet the project canonical quality gate (corpus_quality.audit_corpus_row),abstract; assignee,Auto-routed from contribution file (USPTO) during patent/last-check merge
USPTO,US12622601,US12622601,Compression Sensing Utilizing Sensors Incorporated In A Wearable Apparatus,,,Ethan Y. Chan,2026-05-12,2025-01-22,US,https://patents.google.com/patent/US20250160680A1/en,sensing; sensors; wearable,Textile sensors,,A61B5/1036; A61B5/0004; A61B5/6807; A61B5/7246; A61B2560/0214; A61B2562/0247; A61B2562/04; G01L5/16; A43B3/34; A61B5/1038; A61B5/112; A61B5/6829; A61B2562/0219; A61B2562/046,,,,Relevant to fiber-wearable electronics but does not yet meet the project canonical quality gate (corpus_quality.audit_corpus_row),abstract; assignee,Auto-routed from contribution file (USPTO) during patent/last-check merge
USPTO,US12527371,US12527371,"Wearable Items Providing Physiological, Environmental And Situational Parameter Monitoring",,,Gal Markel,2026-01-20,2024-05-20,US,https://patents.google.com/patent/US20240306746A1/en,physiological; wearable,Wearable health monitoring,,A41D31/18; A61B5/282; A41B1/08; A41B9/00; A41B11/00; A41C3/0057; A41D1/002; A41D1/06; A41D7/00; A41D13/0015; A41D13/02; A41D19/0027; A41D2600/10; A42B1/006; A61B5/0006; A61B5/0015; A61B5/0022; A61B5/0024; A61B5/6804; A61B5/6805; A61B2560/0242,,,,Relevant to fiber-wearable electronics but does not yet meet the project canonical quality gate (corpus_quality.audit_corpus_row),abstract; assignee,Auto-routed from contribution file (USPTO) during patent/last-check merge
USPTO,US12527521,US12527521,Motion Recognition Clothing[TM] with Inertial Sensors and Electrical or Optical Strain Sensors,,,Robert A. Connor,2026-01-20,2023-09-15,US,https://patents.google.com/patent/US20240000383A1/en,clothing; sensors,Textile sensors,,A61B5/11; A61B5/6804; A41D1/002; A61B5/1126; A61B2560/0223; A61B2562/0219; A61B2562/0261; A61B2562/0266; A61B2562/04; A61B2562/046; A61B2562/12; G01B7/16; G01P15/02; G06F3/011; G06F3/014; G06F3/015,,,,Relevant to fiber-wearable electronics but does not yet meet the project canonical quality gate (corpus_quality.audit_corpus_row),abstract; assignee,Auto-routed from contribution file (USPTO) during patent/last-check merge
